id;titel;auteur;paginas;korte_inhoud
1;Industrial;connect Markets Chief;59789;National Awesome sky blue
2;Tactics;scale interactive generating;35675;mission-critical Faroe Islands Plastic
3;Car Industrial deliverables;orange Books;81546;monitor
4;1080p Checking Account Identity;Frozen IB;62329;archive Fantastic Plastic Chicken
5;payment;withdrawal COM;47221;Frozen bus
6;hard drive Robust Networked;Poland;42754;Grocery
7;red;withdrawal knowledge base Buckinghamshire;90756;Phased
8;Saint Lucia white;Generic neutral Salad;92969;virtual deposit
9;Squares mint green e-business;Ghana back-end National;31800;Gorgeous Profit-focused synergies
10;cutting-edge ability Hat;supply-chains magenta;11986;24/7
